author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/297904821/,Москва,sale,flat,2,5,3,110.0,-1,0,93000000.0,Арбат,Новинский бульвар,11,Смоленская,
Залму Писарук,realtor,https://www.cian.ru/sale/flat/317761606/,Москва,sale,flat,9,11,3,95.0,-1,0,28990000.0,Бирюлево Восточное,6-я Радиальная ,3к10,Царицыно,Царицыно
MR Group,developer,https://www.cian.ru/sale/flat/309402329/,Москва,sale,flat,4,24,2,54.32,-1,0,,Алексеевский,,,Улица Сергея Эйзенштейна,Мира ЖК
Beri,real_estate_agent,https://www.cian.ru/sale/flat/317621454/,Москва,sale,flat,7,9,3,80.1,-1,0,73500000.0,Тверской,Тверская ,15,Тверская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/315571125/,Москва,sale,flat,6,12,2,45.0,-1,0,17500000.0,Чертаново Центральное,Кировоградская ,16К1,Южная,
Донстрой,developer,https://www.cian.ru/sale/flat/310846335/,Москва,sale,flat,9,14,3,127.9,-1,0,100068960.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307277796/,Москва,sale,flat,3,5,3,118.8,-1,0,89000000.0,Мещанский,проспект Мира,5к1,Сухаревская,
Webster,real_estate_agent,https://www.cian.ru/sale/flat/317569505/,Москва,sale,flat,2,5,3,99.2,-1,0,159900000.0,Хамовники,Гагаринский переулок,23С1,Кропоткинская,
Capital Group,developer,https://www.cian.ru/sale/flat/313949705/,Москва,sale,flat,12,18,1,53.4,-1,0,68243688.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Beri,real_estate_agent,https://www.cian.ru/sale/flat/317620470/,Москва,sale,flat,6,7,3,90.4,-1,0,90400000.0,Арбат,Трубниковский переулок,26С1,Смоленская,
