price,district,underground,street,house_number,floor,floors_count,total_meters,rooms_count,residential_complex,url
27500000.0,Нагорный,Нагорная,Электролитный проезд,7,24,27,53.7,2,TopHills,https://www.cian.ru/sale/flat/316194051/
76000000.0,Замоскворечье,Серпуховская,Мытная ,7с1,9,16,106.6,3,Английский квартал,https://www.cian.ru/sale/flat/310512370/
95000000.0,Тверской,Новослободская,Новослободская ,11,3,7,138.0,3,,https://www.cian.ru/sale/flat/317559783/
40913318.0,Проспект Вернадского,Юго-Западная,,,5,56,60.7,2,ICE TOWERS,https://www.cian.ru/sale/flat/315769816/
130000000.0,Замоскворечье,Третьяковская,Большой Ордынский переулок,4С4,2,6,121.9,3,Собрание клубных домов ORDYNKA,https://www.cian.ru/sale/flat/317410363/
11652737.0,,Филатов Луг,,3,2,20,53.6,2,Город-парк Первый Московский,https://www.cian.ru/sale/flat/309051214/
20450752.0,Даниловский,Павелецкая,,,3,26,23.9,1,Хай Лайф ЖК,https://www.cian.ru/sale/flat/314720660/
130000000.0,Замоскворечье,Третьяковская,Большой Ордынский переулок,4С4,2,5,125.0,3,Собрание клубных домов ORDYNKA,https://www.cian.ru/sale/flat/310776672/
110000000.0,Тверской,Пушкинская, Малая Дмитровка,23/15С2,2,6,131.1,3,,https://www.cian.ru/sale/flat/308338964/
18784194.0,Даниловский,Тульская,,к15,6,45,31.0,1,Павелецкая Сити ЖК,https://www.cian.ru/sale/flat/317029547/
44500000.0,Замоскворечье,Серпуховская,Люсиновская ,36/50,7,8,72.5,3,,https://www.cian.ru/sale/flat/312757104/
9250000.0,Измайлово,Измайловская,Измайловский проезд,6К2,1,5,31.4,1,,https://www.cian.ru/sale/flat/316064725/
39500000.0,Арбат,Баррикадная,Поварская ,31/29,2,5,55.6,2,,https://www.cian.ru/sale/flat/317037894/
492445589.0,Хамовники,Парк Культуры,Пречистенская набережная,5,2,5,219.0,3,Кленовый DOM,https://www.cian.ru/sale/flat/315556568/
23250887.0,Филевский парк,Фили,Береговой проезд,2,2,26,44.1,1,Береговой-2,https://www.cian.ru/sale/flat/311240310/
82000000.0,Раменки,Ломоносовский проспект,Мосфильмовская ,1к3,3,12,66.0,2,Вишневый сад,https://www.cian.ru/sale/flat/316570308/
16500000.0,Южное Бутово,Улица Скобелевская, Поляны,5,17,31,63.0,2,Эталон-Сити,https://www.cian.ru/sale/flat/317703338/
21759348.0,Нагатинский затон,Южный порт,,,2,26,46.6,2,Дрим Рива ЖК,https://www.cian.ru/sale/flat/315683116/
84900000.0,Пресненский,Тверская,Большая Бронная ,8,4,6,69.0,3,,https://www.cian.ru/sale/flat/317139870/
9800000.0,Вешняки,Вешняки, Молдагуловой,10К1,6,14,35.8,2,,https://www.cian.ru/sale/flat/317158708/
84900000.0,Пресненский,Пушкинская,Большая Бронная ,8,4,6,65.6,3,,https://www.cian.ru/sale/flat/316795429/
38550000.0,Даниловский,ЗИЛ,бульвар Братьев Весниных,1,26,40,62.0,3,ЗИЛАРТ,https://www.cian.ru/sale/flat/317423149/
197310000.0,Басманный,Чистые пруды,Потаповский переулок,5С4,3,6,78.7,1,Исторический дом ,https://www.cian.ru/sale/flat/313246212/
280000000.0,Хамовники,Спортивная, Усачева,15,11,13,100.0,3,Садовые кварталы,https://www.cian.ru/sale/flat/316789814/
846720000.0,Пресненский,Пушкинская,Патриаршие Пруды мкр,,2,6,264.6,3,Клубный дом Левенсон,https://www.cian.ru/sale/flat/313037680/
43339800.0,Раменки,Кутузовская,1-й Сетуньский проезд,8,4,41,60.7,2,Hide,https://www.cian.ru/sale/flat/309280904/
18509541.0,Даниловский,Тульская,Автозаводская ,26/1,17,20,39.74,1,FORST,https://www.cian.ru/sale/flat/316896017/
44899000.0,Раменки,Ломоносовский проспект,Университетский проспект,23К2,5,8,68.3,3,,https://www.cian.ru/sale/flat/317103927/
30525000.0,Щукино,Октябрьское поле,,,3,19,55.5,2,Театральный Квартал ЖК,https://www.cian.ru/sale/flat/311523695/
